1,Kenny Freeman,,DNS
2,Nick Davies,51.83,
3,Mike Thalassinos,,DNS
4,Alison Pridham,,DNS
5,Sachin Shah,,DNS
6,Talia Laurie,72.04,
8,George Liu,,DNS
9,Chris Reid,51.69,
10,David Moull,,DNS
11,Alex Henry,68.91,
12,Alexandra Thalassinos,,DNS
13,Paul Santi,59.03,
14,Antonio Liberatore,61.82,61.42
15,Sarah Moore,60.14,
16,James Bond,41.73,
17,JD Etter,,DNS
18,Elaine Kilmer-Choi,,DNS
20,Peter Livingston,61.83,59.53
21,Sarah Robertson,,DNS
22,Spencer Sgro,54.95,
23,Catherine Capek,58.21,
24,Robert Milthorpe,,DNS
27,Leah Bacon,,DNS
28,Bernie Oegema,58.28,
29,Peter Daly,,DNS
30,Abbi Grace,54.02,
31,Robyn Feeley,54.45,
32,Eric Rosen,58.33,62.24
33,Noah Schein,58.8,58.85
34,Rachel Megitt,53.2,
35,Jocelyn French,55.56,
36,Kevin Kilmer-Choi,,DNS
38,Tony Petrella,55.3,
39,Ari Levin,49.09,
40,Cameron Scott,51.19,52.66
41,Lisa Bugler,53.05,
42,Tushar Mehta,53.86,55.39
43,Earl Duffy,,DNS
44,Sheri Ramshaw,54.12,57.22
45,Tim Caughey,,DNS
46,Maurice Cacho,,DNS
47,David Eva,50.17,
48,Rebecca Henry,,DNS
49,Olivia Penzo,,DNS
50,Michael Godfrey,,DNS
51,Courtney Scott,48.43,51.01
52,Gil Nayot,,DNS
53,Spencer Feeley,47.92,
54,Patrick Smith,,DNS
55,Josh Erlick,47.65,50.09
56,Laura Libby,48.57,
57,Rob Reid,47.44,
58,Don French,47.44,
60,Mitch Perrault,50.73,
62,John Alexander Duff Wilson,,DNS
63,Sarah Kansun,50.96,51.09
64,David Rosenblatt,,DNS
65,Jarid Palter,47.15,49.31
66,Justin Trevan,52.31,51.03
67,Connor Whitney,45.63,
68,Brook Hamilton,46.91,49.96
69,Todd Robertson,47.32,48.71
71,Bengie Maxwell,52.17,DSQ
72,Shane Hambly,45.85,
73,Jeff Parr,43.96,
74,Tori Johnston,DNF,
76,Mel Reiter,50.94,50.94
77,David Garber,49.46,
78,Robert Hawtin,46.54,
79,Kevin Beattie,47,
80,Dan Charland,46.97,
82,Brad Brock,45.71,
83,Jay MacDonand,,DNS
84,Jack Thayer,49.09,
85,Joanna Perrault,45.88,
86,Kenneth Stoneham,43.28,
87,Sean Cotnam,44.46,
88,Jonathan Ages,44.75,
89,Mark Laurie,45.68,
90,Emily Gwin,44.85,
91,Andrew McManus,44.83,
92,Mike Parr,41.44,
93,Alex Thayer,44.32,
94,Shane Henry,41.86,
95,Nick Parr,,DNS
96,Tyler Pridham,43.95,
97,Will Cartar,42.5,
98,Laura Coward,,DNS
99,Steph Coward,42.56,
100,Jeff Cox,41.73,
101,Alexei Goodhand,42.13,
102,Andrew Moscoe,41.58,43.49
104,Brandon Hune,41.84,
105,Jeffrey Kansun,44.96,
106,Jordan Kofman,,42.37
107,Alastair Connor,42.87,
108,Rob Kansun,41.14,
109,Michael McTaggart,40,
110,Will Stewart,40.73,
111,Nick Balan,40.57,
113,Graham Ramshaw,DNF,42.16
114,Hunter King,42.68,
115,Emma Williamson,41.86,
116,McLean Jamieson Wood,50.17,
118,Elaine Kilmer-Choi,47.72,47.88
120,Steve Megitt,46.96,DNS
121,Henry Long,58.99,56.98
122,Leonard Bienenstock,,DNS
123,Barry Pogson,,DNS
124,Steve Crawford,42.07,43.89
125,Kyla Taylor,49.16,48.47
126,Jacob French,,DNS
128,Bernie Oegema,39.5,40.15
136,Kevin Kilmer-Choi,39.52,40.84
140,Linda Leistner,45.18,45.83
144,Sheri Ramshaw,43.74,45.28
165,Jarid Palter,38.79,38.36
188,Jonathan Ages,,DNS
213,Graham Ramshaw,39.63,DNF
