rank,bib,name,discipline,team,tier,run1_race1,run2_race1,best_time_race1,points_race1,run1_race2,run2_race2,best_time_race2,points_race2,run1_race3,run2_race3,best_time_race3,points_race3,total_top_3_points
3,108.0,Rob Kansun,SKI,Big Eggplant Energy,1.0,24.1,23.65,23.65,8.0,,9999.0,9999.0,0.0,31.65,9998.0,31.65,4.0,12.0
17,100.0,Jeff Cox,SKI,Big Eggplant Energy,2.0,24.62,9999.0,24.62,6.0,24.82,24.77,24.77,7.0,32.18,9998.0,32.18,6.0,19.0
24,98.0,Laura Coward,SKI,Big Eggplant Energy,3.0,25.19,25.32,25.19,4.0,25.26,9998.0,25.26,7.0,32.06,9998.0,32.06,8.0,19.0
33,84.0,Jack Thayer,SKI,Big Eggplant Energy,4.0,9998.0,26.05,26.05,5.0,,9999.0,9999.0,0.0,34.16,35.17,34.16,8.0,13.0
39,80.0,Dan Charland,SKI,Big Eggplant Energy,5.0,26.44,26.32,26.32,5.0,26.45,26.53,26.45,8.0,37.9,38.82,37.9,6.0,19.0
27,70.0,Cameron Scott,SKI,Big Eggplant Energy,6.0,25.65,9998.0,25.65,10.0,,9999.0,9999.0,0.0,32.8,33.6,32.8,10.0,20.0
45,57.0,Rob Reid,SKI,Big Eggplant Energy,7.0,27.19,27.23,27.19,9.0,,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,0.0,9.0
112,47.0,David Eva,SKI,Big Eggplant Energy,8.0,9999.0,9999.0,9999.0,0.0,28.28,27.62,27.62,8.0,9999.0,9999.0,9999.0,0.0,8.0
69,43.0,Earl Duffy,SKI,Big Eggplant Energy,9.0,30.42,9999.0,30.42,5.0,,9999.0,9999.0,0.0,40.81,40.11,40.11,9.0,14.0
74,32.0,Eric Rosen,SKI,Big Eggplant Energy,10.0,31.11,31.48,31.11,5.0,31.45,31.91,31.45,6.0,49.81,50.18,49.81,5.0,16.0
71,24.0,Robert Milthorpe,SKI,Big Eggplant Energy,11.0,30.48,9999.0,30.48,9.0,30.4,9999.0,30.4,9.0,44.98,9999.0,44.98,9.0,27.0
91,13.0,Paul Santi,SKI,Big Eggplant Energy,12.0,35.91,39.68,35.91,6.0,32.78,33.43,32.78,8.0,47.86,52.58,47.86,9.0,23.0
